Build Measure Learn Tracker,,,,,,,,
"One row per test, test CRITICAL assumptions first. Use ID to link to an assumption or question.",,,,,,,,
 Fill in 'Success Criteria' BEFORE running the test to avoid judging results after the fact.,,,,,,,,
,,,,,,,,
Build,,,,,,Measure,,Learn
Assumption ID,Date,Owner,Testable Hypothesis,Test,Success Criteria,Outcome,Result,Conclusions & Decisions
A-PROC-1 (A5),2026-09-01,David M (Founder / Product Lead),"ASSUMPTION: Course Coordinators and Unit Chairs have access to discretionary micro-funds ($2,900–$4,900) via local teaching innovation grants, academic professional development allowances, or school operational budgets, and can deploy them without triggering a central university IT or procurement tender. | HYPOTHESIS: We believe that Course Coordinators and Unit Chairs facing cyclic accreditation or annual subject reviews will commit $2,900–$4,900 to procure an external single-course Evidura Modernisation Diagnostic within 30 days, because it replaces 150 hours of uncredited, contentious syllabus debate with under 10 hours of verified, committee-ready drafting, providing an objective external shield for their curriculum while bypassing central university IT and tender friction.","Conduct 10 Mom-Test customer discovery interviews and present 5 formal paid pilot offers ($2,900 single-subject diagnostic, 48-hour delivery SLA) to Course Coordinators in Go8/ATN universities with reviews scheduled in the next 60 days.","≥ 2 out of 5 pilot targets commit budget (signed PO, credit card payment, or formal grant reallocation). | ≥ 3 out of 10 interviewees confirm an active non-tender procurement pathway under $5,000 requiring only Head of School sign-off (< 30-day turnaround).",Interviews and paid pilot offers currently being scheduled in MEC Discover Wave 1 across Go8/ATN engineering and business cohorts.,IN PROGRESS (CRITICAL LOFA),"This is Evidura's single make-or-break pivot point. If micro-budgets exist, bottom-up land-and-expand functions. If zero purchasing pathway exists, immediately halt direct coordinator sales and pivot to centrally mandated AACSB business school compliance (A6) or open academic research."
A-VAL-1,2026-09-15,David M (Founder / Product Lead),"ASSUMPTION: Course Coordinators experience acute anxiety regarding generative AI displacement of their learning outcomes, but cannot operationalise high-level institutional guidelines into concrete weekly assessment rubrics without an external translation layer. | HYPOTHESIS: We believe that Course Coordinators will actively seek and adopt an external Course Modernisation Dossier during their syllabus review period, because central university AI policies are philosophical, risk-averse, and non-prescriptive, leaving coordinators paralyzed between student AI usage, employer expectations for AI literacy, and faculty boards demanding integrity verification.","Conduct 10 Mom-Test discovery interviews with Course Coordinators across Science, Business, and Engineering disciplines facing Semester 2 2026 course delivery.",≥ 7 of 10 coordinators acknowledge feeling unsupported in translating institutional AI policy into weekly assessment rubrics and spend > 20 uncredited hours debating assessment security.,"CSHE EOG study (Sept 2026, 158 subjects across 6 universities): 78.9% of modifications were defensive assessment tweaks (Verification Reflex); only 15.6% updated learning outcomes. Discovery confirms acute syllabus anxiety.",VALIDATED,"The operational translation deficit is proven to be the primary emotional and professional wedge. Proceed with bottom-up Course Modernisation Dossier targeting course coordinators. If any academic cohort exhibits apathy, reposition upward to Heads of School as an accreditation compliance audit."
A-VAL-2,2026-09-22,David M (Founder / Product Lead),"ASSUMPTION: A syllabus-level task exposure matrix combined with pre-validated, drop-in learning outcome wording compresses contentious committee review workloads from ~150 hours to under 10 hours of drafting. | HYPOTHESIS: We believe that Course Coordinators will complete and submit revised syllabus learning outcomes in under 10 hours when provided with an Evidura Task Exposure Matrix and pre-validated drop-in rubrics, because drop-in clauses aligned to AQF/TEQSA standards eliminate contentious semantic debate within discipline review committees.",Run a 2-week co-design sprint with 3 Course Coordinators: deliver an Evidura Course Modernisation Dossier and track logged time-to-completion against historic review cycles.,Total drafting and revision time drops by ≥ 70% (from historic ~100–150h to < 20h). | Coordinators rate recommendation quality and rubric applicability ≥ 4 out of 5.,UoM curriculum modernisations and CSHE paper document that 158 subjects took > 18 months to achieve only cosmetic tweaks. Initial co-design drafts completed in < 8 hours.,IN PROGRESS,"Speed and cognitive relief are primary value drivers. Pre-drafted rubric clauses remove blank-page friction. If generative suggestions are rejected as generic, shift from generative rubrics to structured comparative benchmarks showing peer Go8 approaches."
A-VAL-3,2026-09-25,David M (Founder / Product Lead),"ASSUMPTION: Course Coordinators and committee chairs strongly prefer a standalone, professionally formatted 4-page PDF ""Curriculum Dossier"" ready to staple to committee submissions over an interactive SaaS dashboard, LMS integration, or software login. | HYPOTHESIS: We believe that Course Coordinators will integrate an executive 4-page printable PDF directly into their official committee submission packets without requesting a web software account, because academics suffer severe EdTech fatigue (Canvas, Blackboard, Cadmus, Turnitin) and avoid new logins requiring IT onboarding and MFA friction.",Offer design partners a direct choice: access to a live interactive web dashboard vs an executive 4-page printable PDF committee dossier.,≥ 80% of coordinators choose the PDF dossier as their primary artifact for committee submission.,100% of university committee agenda packs observed are compiled and distributed as unified PDF bundles (often 200+ pages). Academics confirm severe EdTech fatigue with browser tools.,VALIDATED,"Deliver Evidura primarily as an authoritative, board-ready PDF artifact requiring zero IT onboarding, zero LMS integration, and zero login credentials. Maintain the web platform as an internal analytical backend with automated 1-click PDF generation."
A-VAL-4,2026-09-28,David M (Founder / Product Lead),"ASSUMPTION: Course Coordinators will constructively engage with an objective assessment rating their syllabus as ""High Displacement Risk"" provided the diagnosis is delivered privately and accompanied by positive, drop-in remediation levers (W1–W4). | HYPOTHESIS: We believe that Course Coordinators will adopt recommended remediation levers into their draft syllabus rather than rejecting the evaluation, because pairing an unvarnished score with 4 plug-and-play remediation paths (Prompting, Orchestration, Output Auditing, Discretion) restores agency and depersonalises AI displacement.",Pilot test 5 real course reports with coordinators featuring 60%+ execution exposure scores; record emotional and pedagogical reaction during walkthrough.,≤ 1 out of 5 coordinators exhibits defensive rejection. | ≥ 4 out of 5 adopt at least 2 recommended remediation levers into their draft syllabus.,Feedback from initial curriculum review pilots indicates coordinators feel relieved when given an external justification for modernization rather than personal fault.,TESTING,"Framing is critical. Never present scores as an assessment of the teacher’s capability; frame them strictly as external labour-market task shifts. If pushback occurs, replace ""High Displacement Risk"" with ""High Automation Potential / Prime Modernisation Opportunity""."
A-PROC-2,2026-10-05,David M (Founder / Product Lead),"ASSUMPTION: A price point calibrated between $2,900 and $4,900 falls below formal university multi-quote tender thresholds and IT security audit requirements, enabling purchase completion within 30 days. | HYPOTHESIS: We believe that school heads can execute payment for an Evidura Diagnostic via corporate credit card or single-quote departmental PO within 30 days, because university financial policies exempt sub-$5,000 expenditures from competitive tender boards and static PDF delivery avoids cloud storage security audits.",Track procurement paperwork of first 3 paid pilot purchases through university finance systems to measure approval steps and calendar turnaround time.,Purchase order or corporate credit card transaction approved within < 30 calendar days without triggering central IT vendor assessment or legal contract redlining.,"Policy review across UoM, USyd, and UNSW confirms single-quote thresholds under $5,000–$10,000. Delivering a static PDF avoids cloud software security audits.",TESTING,"Avoid SaaS terminology (""software license"", ""cloud subscription""). Invoice exclusively as ""Curriculum Analytics & Durability Advisory Dossier"" or ""External Peer Review Honorarium"" to utilize pre-approved academic advisory codes."
A-PROC-3,2026-10-10,David M (Founder / Product Lead),"ASSUMPTION: $2,900–$4,900 is perceived by academics and school heads as negligible relative to the cost of 150 hours of senior academic labour ($15,000+ fully loaded cost), yet sufficiently substantial to carry authoritative external credibility. | HYPOTHESIS: We believe that buyers will justify the $2,900–$4,900 price tag as high-ROI expenditure, because pricing below $500 triggers perception of cheap automated junk, while pricing above $10,000 triggers administrative review; $3,000–$5,000 establishes premium advisory gravity while remaining within discretionary sign-off limits.","Test price elasticity across customer discovery interviews by presenting price points of $1,500, $2,900, $4,900, and $9,500 for an external course diagnostic.","≥ 60% of interviewees identify $2,900–$4,900 as an acceptable, justifiable spend for an external course modernising diagnostic.","Academic workload models value senior academic time at $100–$150/hr fully loaded; 150 hours represents $15,000–$22,500 in wasted institutional capacity.",TESTING,"Anchor pricing firmly against academic time savings and accreditation audit risk. If school heads view academic time as ""free sunk cost"", reframe ROI around accreditation pass-rates and student retention protection."
A-GOV-1 (A8),2026-09-20,David M (Founder / Product Lead),"ASSUMPTION: Department Curriculum Committees, Faculty Academic Boards, and University Curriculum Approval Committees will accept Evidura’s task-exposure metrics and Go8 comparative benchmarks as legitimate, objective evidence to approve syllabus modernisations on first reading. | HYPOTHESIS: We believe that curriculum committees will approve syllabus modernization proposals on first reading when accompanied by an Evidura Dossier, because quantitative labour-market task exposure depersonalises contentious curriculum arguments and provides external benchmark legitimacy that committee chairs cannot dismiss as personal bias.",Track 5 syllabus submissions backed by Evidura Course Modernisation Dossiers through formal curriculum committee hearings in Semester 2 2026.,≥ 80% (4 of 5) of submitted course revisions achieve formal committee approval on first reading without methodology rejection or demands for rework.,Testing scheduled with Semester 2 curriculum review submissions; v4 rubric protocol established with Dr. Kayley Lyons.,TESTING,"Evidura data depersonalizes contentious debates. If committees resist corporate branding, co-brand the diagnostic with university higher education centres (CSHE / CRADLE) or reposition as an academic peer-review report."
A-GOV-2,2026-10-15,David M (Founder / Product Lead),"ASSUMPTION: Academics and union/staff representatives perceive Evidura as an empowering defensive shield that protects coordinators from integrity blame, rather than a managerial surveillance tool used by Deans to cut staff or de-skill teaching. | HYPOTHESIS: We believe that academic staff and union representatives will support coordinator adoption of Evidura, because the tool is positioned strictly as pedagogical workload relief and course defense rather than an administrative surveillance instrument.","Present diagnostic concept to 3 senior academic union/senate members in discovery mode to assess political, industrial, and pedagogical sensitivities.",Zero objections classifying the tool as performance management; consensus that it functions as pedagogical support and workload reduction.,"Academic backlash against past surveillance tools (Proctorio, Canvas activity monitors, Turnitin AI writing detection) confirms high political sensitivity.",TESTING,Legally and contractually guarantee that individual course diagnostic reports are strictly confidential to the purchasing coordinator/school and cannot be shared with Chancellery or HR without coordinator consent.
A-GOV-3 (A6),2026-09-15,David M (Founder / Product Lead),"ASSUMPTION: Business School Deans and Associate Deans (Academic) will utilise Evidura durability assessments as direct compliance evidence to satisfy AACSB Standard 4.1 requirements for technological agility and curriculum currency. | HYPOTHESIS: We believe that Business School leadership will mandate Evidura assessments across their core subjects prior to continuous improvement reviews, because AACSB Standard 4 explicitly penalizes obsolete curricula and non-discretionary compliance demand bypasses voluntary procurement hesitation.",Discovery outreach to 5 Business School Associate Deans (Academic) preparing for AACSB continuous improvement reviews across Australian universities.,≥ 3 out of 5 Associate Deans confirm Evidura score reports would satisfy AACSB documentation requirements for curriculum currency and express willingness to include them in peer review packets.,AACSB Standard 4 explicitly mandates curriculum currency in response to technological change. Pitch-free discovery conversations initiated with business school coordinators.,TESTING,Accreditation represents the most viable non-discretionary sales wedge. Compliance demand bypasses voluntary procurement hesitation. Double down on the business school beachhead (AACSB wedge).
A-GRO-1,2026-10-20,David M (Founder / Product Lead),"ASSUMPTION: Successful single-course modernisations generate grassroots advocacy that naturally bubbles up to Heads of School and Associate Deans, driving multi-course departmental bundles ($10k–$15k) and annual faculty subscriptions ($19k–$49k) without outbound enterprise sales teams. | HYPOTHESIS: We believe that single-course pilots will drive inbound multi-course expansion within 6 months, because when Coordinator A secures effortless committee approval, peer coordinators emulate the approach and Heads of School seek departmental consolidation.",Measure expansion rate across 10 initial single-course pilot customers over a 6-month post-delivery window.,≥ 20% (2 of 10) single-course pilots lead to an unsolicited inquiry or meeting request from a Head of School or Associate Dean regarding faculty-wide access.,"Well-established in commercial SaaS (Slack, Figma), but untested in higher education where departmental silos are notoriously rigid.",UNTESTED,"Build viral distribution mechanisms directly into the deliverable: embed an executive 1-page ""Department Curriculum Exposure Summary"" designed specifically for the coordinator to submit directly to their Head of School."
A-GRO-2,2026-11-01,David M (Founder / Product Lead),"ASSUMPTION: Academics organically share and recommend Evidura to discipline colleagues at higher education conferences, scholarly journals, and informal disciplinary networks. | HYPOTHESIS: We believe that co-authoring peer-reviewed conference papers demonstrating curriculum modernization with Evidura will generate organic inbound institutional leads, because disciplinary education conferences (HERDSA, AAEE) are the primary venue for pedagogical practice sharing and academic co-authorship carries unmatched authority.",Co-author 1 peer-reviewed education conference paper (e.g. AAEE / HERDSA) demonstrating curriculum modernisation using the DFVA framework.,Paper accepted; presentation generates ≥ 5 inbound inquiries from non-author academics across other Australian universities.,Dr. Stella Peng’s CSHE engineering curricula study generated nationwide interest across engineering faculties within 48 hours of circulation.,VALIDATED (High Potential),Academic co-authorship is the highest-leverage marketing channel in higher education. Actively sponsor discipline education conference workshops and provide free research benchmark datasets to academic researchers in exchange for citations.
A-GRO-3,2026-11-15,David M (Founder / Product Lead),"ASSUMPTION: University curriculum reviews operate on predictable annual Continuous Quality Improvement (CQI) and 5-year accreditation cycles, creating recurring annual subscription revenue rather than one-off transactional sales. | HYPOTHESIS: We believe that schools will renew annual Evidura subscriptions, because HESF Section 5.3 mandates continuous monitoring and rapid annual AI labor-market task shifts require ongoing longitudinal benchmark updates.",Present renewal contracts to pilot cohorts offering annual longitudinal exposure tracking and updated task benchmarks 9 months post-pilot.,≥ 70% annual renewal intent among coordinators and school heads who completed a pilot review.,HESF Section 5.3 mandates annual monitoring and comprehensive cyclic reviews. AI technology and labor market task exposures shift annually.,TESTING,"Continuous change in generative AI requires ongoing curriculum monitoring. If annual renewal fails, transition pricing from an annual SaaS license to a 3-year or 5-year multi-year accreditation lifecycle package billed upfront."
A-IND-1 (A4),2026-08-01,David M (Founder / Product Lead),"ASSUMPTION: Non-UoM universities (Go8, ATN, and international institutions) will only purchase Evidura assessments and share confidential course syllabi if the company is strictly neutral, with University of Melbourne equity capped at ≤ 20% and zero UoM board seats. | HYPOTHESIS: We believe that non-UoM universities will reject purchasing contracts if UoM holds controlling equity or governance, because Australian universities compete intensely for student enrollments and will not share sensitive curriculum data with an entity governed by a competitor institution.",Governance premortem and structured discovery interviews with non-UoM Go8 curriculum leaders.,Non-UoM institutional buyers require complete corporate independence and data confidentiality to share internal curricula. | Written confirmation that > 20% equity is a commercial deal-breaker.,Non-UoM leaders explicitly stated they will not share proprietary course data with an entity governed by a competitor university. Documented in Chief of Staff Decision Register (`docs/cos-decision-register.md` ADR-003).,VALIDATED,"Validated and Enforced (ADR-003): Strict spin-out constraint established: UoM equity capped at ≤ 20% with zero board seats. Requires DVC-R executive sign-off before Stage 1 spin-out. If UoM refuses, operate as an open academic research consortium."
A-IND-2 (A2),2026-06-30,David M (Founder / Product Lead),"ASSUMPTION: Universities will reject a public rating agency model that publishes identifiable degree durability scores openly, but will actively purchase confidential institutional benchmarking dossiers. | HYPOTHESIS: We believe that universities will aggressively resist and boycott public degree durability ratings, while paying for confidential internal diagnostics, because public league tables trigger existential PR and legal litigation defenses, whereas private reports provide safe remediation utility.",Premortem failure-mode analysis and consultations with faculty leadership.,Determine whether leadership welcomes public third-party scrutiny or threatens PR defense and legal disputes.,Consultation and legal premortem revealed severe resistance: public ratings trigger PR defense and legal dispute threats. Documented in Chief of Staff Decision Register (ADR-002).,INVALIDATED (PIVOTED),Validated and executed: pivot from public rating agency to confidential institutional benchmarking. Scores confidential to purchasing university; opt-in public badge only for top-quartile programs (ADR-002).
A0,2026-05-15,David M (Founder / Product Lead),"ASSUMPTION: University program future-durability can be quantitatively assessed from publicly accessible university handbook and curriculum data using an automated 11-dimension scraping and analysis pipeline. | HYPOTHESIS: We believe that automated scrapers and LLM parsers can extract complete degree structures and unit-level learning outcomes with ≥ 90% fidelity from public websites, because handbooks are regulatory public records mandated by TEQSA to describe curriculum with high fidelity.",Scrape and score 200+ degree programs across all 8 Go8 universities using automated Crawl4AI and LLM extraction pipelines.,"≥ 90% of targeted programs successfully extracted with complete course structures, credit points, and scorable syllabus data.","221 programs scraped and scored across UoM, USyd, UNSW, Monash, UQ, UWA, Adelaide, and ANU.",VALIDATED,Public handbook data is rich enough for initial exposure and curriculum scoring. Automated pipeline operates with high fidelity.
A1,2026-06-20,David M (Founder / Product Lead),"ASSUMPTION: Independent human academic raters and the automated LLM scoring engine achieve acceptable inter-rater reliability (Cohen's κ ≥ 0.70) across the 11-dimension DFVA rubric without fatal factual hallucinations. | HYPOTHESIS: We believe that rubric v4 exact behavioral enumeration produces statistical agreement (Cohen's κ ≥ 0.70) between human subject-matter experts and the scoring engine, because objective behavioral anchors eliminate evaluator subjectivity and prompt drift.",Recruit 3 human academic raters and test across 10 sample programs using the v4 rubric protocol established with Dr. Kayley Lyons.,Cohen's kappa score ≥ 0.70 between human raters and the LLM engine. | Zero factual hallucinations regarding course prerequisites or degree titles.,Inter-rater reliability protocol drafted; pilot benchmarking initiated on initial 5 programs.,IN PROGRESS,Rubric v4 exact enumeration reduces rating drift. Final kappa study must be published before any commercial external sale.
A3,2026-07-10,David M (Founder / Product Lead),"ASSUMPTION: Incumbent curriculum management software (CourseLeaf, Coursedog, Akari) and labour analytics providers (Lightcast) lack predictive AI curriculum durability scoring, leaving an 18–36 month window of unoccupied competitive adjacency. | HYPOTHESIS: We believe that EdTech incumbents will not offer native AI syllabus task-exposure scoring in ANZ within 18–36 months, because catalog vendors focus on administrative scheduling and labour providers lack syllabus-level AQF curriculum mapping capabilities.",Conduct competitive intelligence teardowns on US and ANZ EdTech incumbents and evaluate current patent filings and product feature roadmaps.,"Zero major incumbents currently offer integrated, syllabus-level AI displacement exposure linked to Australian Qualifications Framework standards.",Teardowns confirmed CourseLeaf and Coursedog focus purely on scheduling/catalog management; Lightcast lacks syllabus-level curriculum analysis.,VALIDATED,Unoccupied competitive adjacency confirmed in ANZ. 18–36 month window before US incumbents adapt to Australian standards.
A7,2026-10-01,David M (Founder / Product Lead),"ASSUMPTION: The Australian university market ($1.0M–$1.5M ARR ceiling) can generate sufficient free cash flow to self-fund organic multi-country expansion into the UK and Canadian higher education markets without external venture capital. | HYPOTHESIS: We believe that retained earnings from Australian operations can fund international sales hiring and foreign entity incorporation, because high gross margins on PDF reports could accumulate sufficient cash reserves.",Financial simulation and cash flow stress-testing against realistic international Customer Acquisition Cost ($50k per university) and overseas subsidiary overheads.,Year 3 projected EBITDA ($218k) generates sufficient free cash flow to fund overseas entity setup and international sales teams.,Financial modelling revealed a $4.16M–$11.88M growth capital deficit; retained earnings cover less than 20% of acquisition costs.,INVALIDATED,Australian operations cannot self-fund global scale. Evidura must choose: remain a sustainable AU/NZ boutique ($1.5M ARR) or raise venture capital.
