program_code,occupation,onet_soc_code,onet_soc_title,ai_exposure_index,mapping_confidence,index_source,mapping_note
mc-teachsa,Teacher,25-2031,"Secondary School Teachers, Except Special and Vocational Education",91.99,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because the bare string serves primary and secondary cohorts at once (25-2021 84.73 vs 25-2031 91.98, 7.25 apart); scoping to the Master of Teaching (Secondary) record fixes the level — all 13 employers are secondary schools or state systems, and the record's mapped siblings Secondary School Teacher, Senior Teacher and Year Level Coordinator sit at 25-2031. Rejected 25-2021 Elementary, 7.25 lower; 25-2022 Middle School, 2.27 higher (US grades 6-8 has no Australian secondary equivalent); 25-3099 Teachers and Instructors All Other, 3.19 higher (the substitute-teacher residual, wrong for an ongoing posting)."
mc-teachsa,Classroom Teacher,25-2031,"Secondary School Teachers, Except Special and Vocational Education",91.99,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Same refusal (level split across mc-teachpr/mc-teachsa) and same resolution: a secondary-program cohort's classroom posting is 25-2031, matching Secondary School Teacher in this record. Rejected 25-2021, 7.25 lower; 25-2022, 2.27 higher."
mc-teachsa,Casual Relief Teacher,25-3099,"Teachers and Instructors, All Other",95.18,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","OVERTURNED in review from 25-2031 (91.98): the mapper read CRT as a mode of employment, but SOC itself classifies substitute teachers as an occupation — SOC 2010 files them in 25-3099 Teachers and Instructors, All Other, the source occupation SOC 2018 split 25-3031 Substitute Teachers, Short-Term out of — so 25-3099 (95.17) is the level-independent anchored home and the day-to-day relief work (delivering set lessons without planning or assessment ownership) is what the code separates. Rejected 25-2031 Secondary, 3.19 lower (low materiality here); 25-2021, 10.44 lower. Same SOC as the mc-teachpr row: the title needs no level, so a single global row would be cleaner if the rule-5 refusal is ever lifted."
mc-teachpr,Teacher,25-2021,"Elementary School Teachers, Except Special Education",84.74,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally on the primary/secondary level split (25-2021 84.73 vs 25-2031 91.98); the Master of Teaching (Primary) scope fixes the level — five of the 13 employers are named primary schools and the mapped sibling Primary School Teacher sits at 25-2021 ('Primary Teacher' is a verbatim O*NET reported title there). Rejected 25-2031 Secondary, 7.25 higher; 25-2022 Middle School, 9.52 higher (the record lists Middle School Teacher separately, so the bare title is not carrying it); 25-2011 Preschool, 20.40 lower (Foundation/Prep is a primary-school year, not preschool)."
mc-teachpr,Classroom Teacher,25-2021,"Elementary School Teachers, Except Special Education",84.74,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Same refusal and same resolution as Teacher @ mc-teachpr: a primary-program cohort's classroom posting is 25-2021, matching Primary School Teacher in this record. Rejected 25-2031, 7.25 higher; 25-2022, 9.52 higher."
mc-teachpr,Casual Relief Teacher,25-3099,"Teachers and Instructors, All Other",95.18,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","OVERTURNED in review from 25-2021 (84.73): SOC 2010 classifies substitute teachers in 25-3099 Teachers and Instructors, All Other (95.17) — the occupation SOC 2018 later split out as 25-3031 Substitute Teachers, Short-Term — so the title has an anchored, level-independent home and the mapper's 'mode of employment' premise does not hold. The mapper's code sat 10.44 below this anchor, over the 10-point line. Rejected 25-2021, 10.44 lower; 25-2031, 3.19 lower. Same SOC as the mc-teachsa row."
mc-apling,English Teacher,25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",95.74,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because it blocks mc-apling (adult TESOL) and mc-teachpr (primary) as different occupations; the Applied Linguistics scope fixes the adult/ESL read — skills are Teaching English as a Second Language and Language Testing, and the record's siblings ELICOS Teacher and English Second Language Teacher are 25-3011 (high). Disclose that three employers are state school systems (DET Victoria, NSW Government, Education Queensland), so a school EAL posting at 25-2031 Secondary is a live rival — but only 3.75 lower, and 25-1123 English Postsecondary is 1.64 higher, so the plausible set spans 5.39. Rejected 25-2031, 3.75 lower; 25-2021, 11.00 lower."
mc-larch,Design Assistant,17-3011,Architectural and Civil Drafters,85.60,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally (19th run) because a title-only row would be served to fashion, graphic and interior cohorts reporting the same string; the title blocks and is reported by mc-larch alone, so the scoped row removes that leak. Inside mc-larch (12 landscape studios as employers, skills Landscape Architecture/Design) the candidates are 17-3011 85.60, 17-1012 88.25, 27-1025 90.33, 27-1024 80.66, a 9.67 band; follows the record's own '<Domain> Assistant -> subordinate code' precedent Landscape Assistant -> 17-3011 (Assistant Landscape Architect -> 17-1012 is the '<Profession>' shape), and 17-3011 anchors Architectural Designer and Landscape Drafter. Rejected 17-1012, 2.64 higher; 27-1025, 4.72 higher; 27-1024, 4.95 lower."
mc-pubcom,Publishing Assistant,43-9081,Proofreaders and Copy Markers,94.30,medium,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally (11th run) because 'Publishing' names an industry and the editorial-vs-production-vs-clerical axis spanned 22.51 with no employer link. The mc-pubcom scope supplies that link: all 13 employers are book publishers (Hardie Grant, Pan Macmillan, CUP, Allen & Unwin, MUP) and the skills are Editing/Publishing, which removes the 43-9031 Desktop Publishers production read (71.79, 22.50 lower — typesetting is outsourced at these houses and not trained here) and leaves 43-9081 94.29, 27-3041 90.48, 43-6014 89.78, 43-6011 89.32 plus the publicity-admin read 13-1161 97.59, an 8.27 band. Follows Editorial Assistant -> 43-9081 (verbatim O*NET title), the same-tier near-synonym in this record. Rejected 27-3041 Editors, 3.81 lower; 13-1161, 3.30 higher."
991aa,University Lecturer,25-1022,"Mathematical Science Teachers, Postsecondary",95.50,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 242111 is discipline-agnostic and the 25-1xxx postsecondary cells spread ~30 points (25-1194 67.47 to 25-1125 97.84) while 25-1199 is absent from Felten; the program's JSA field (010103 Statistics) is the tiebreak. SOC files postsecondary teachers by subject taught and 25-1022 Mathematical Science Teachers (95.49) names statistics explicitly. Rejected 25-1071 Health Specialties (85.63), 9.86 lower — the live rival, since biostatistics lectureships sit in public-health schools and 25-1071 lists public health, but the subject taught is statistics, not a health specialty; 25-1042 Biological Science (92.85), 2.64 lower. Reviewer: kept; rival inside 10 with a subject-taught tiebreak."
mc-biosenh,University Lecturer,25-1022,"Mathematical Science Teachers, Postsecondary",95.50,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Refused globally because ANZSCO 242111 is discipline-agnostic and the 25-1xxx postsecondary cells spread ~30 points while 25-1199 is absent from Felten; the program's JSA field (010103 Statistics) is the tiebreak. Variant of 991aa, same field and same cell: 25-1022 Mathematical Science Teachers (95.49), subject taught. Rejected 25-1071 Health Specialties, 9.86 lower (public-health-school seat does not change the subject); 25-1042 Biological Science, 2.64 lower."
