occupation,ai_exposure_index,anzsco_code,onet_soc_code,index_source,mapping_confidence,mapping_note,soc_clean,in_aioe_population,recomputed_from_appendix,abs_diff
Academic Manager,98.42,,11-9033,Felten-AIOE,high,"11-9033 Education Administrators, Postsecondary: Postsecondary education administrator.",11-9033,True,98.4153,0.0047
Actuarial Graduate,99.73,,15-2011,Felten-AIOE,high,15-2011 Actuaries: Entry-level actuary; seniority does not change SOC.,15-2011,True,99.7333,0.0033
Algorithm Developer,94.18,,15-1133,Felten-AIOE,medium,"15-1133 Software Developers, Systems Software: Systems software developer; algorithm-implementation role.",15-1133,True,94.1784,0.0016
Allied Health Assistant,67.56,,31-9099,Felten-AIOE,high,"31-9099 Healthcare Support Workers, All Other: Healthcare support worker, all other.",31-9099,True,67.5597,0.0003
Analytics Engineer,92.97,,15-1199,Felten-AIOE,medium,"15-1199 Computer Occupations, All Other: Computer occupations, all other; no SOC 2010 cell for analytics engineering.",15-1199,True,92.9728,0.0028
Application Developer,92.22,,15-1132,Felten-AIOE,high,"15-1132 Software Developers, Applications: Applications software developer.",15-1132,True,92.2156,0.0044
Architect,88.55,,17-1011,Felten-AIOE,high,"17-1011 Architects, Except Landscape and Naval: Architect, except landscape and naval.",17-1011,True,88.5519,0.0019
Architectural Assistant,85.6,,17-3011,Felten-AIOE,medium,17-3011 Architectural and Civil Drafters: Pre-registration architectural support; drafting/documentation work.,17-3011,True,85.6037,0.0037
Architectural Designer,88.55,,17-1011,Felten-AIOE,medium,"17-1011 Architects, Except Landscape and Naval: Design work within an architecture practice.",17-1011,True,88.5519,0.0019
Architectural Draftsperson,85.6,,17-3011,Felten-AIOE,high,17-3011 Architectural and Civil Drafters: Architectural and civil drafter.,17-3011,True,85.6037,0.0037
Architectural Technician,85.6,,17-3011,Felten-AIOE,high,17-3011 Architectural and Civil Drafters: Architectural and civil drafter.,17-3011,True,85.6037,0.0037
Architecture Graduate,88.55,,17-1011,Felten-AIOE,high,"17-1011 Architects, Except Landscape and Naval: Entry-level architect.",17-1011,True,88.5519,0.0019
Artificial Intelligence Engineer,91.1,,15-1111,Felten-AIOE,medium,15-1111 Computer and Information Research Scientists: Computer and information research scientist; closest SOC 2010 cell for AI/ML engineering.,15-1111,True,91.1041,0.0041
Asset Manager,92.56,,11-9141,Felten-AIOE,medium,"11-9141 Property, Real Estate, and Community Association Managers: Read as property/real-estate asset management given the property cluster; finance reading would map to 11-3031.",11-9141,True,92.5604,0.0004
Assistant Development Manager,88.12,,11-9021,Felten-AIOE,medium,11-9021 Construction Managers: Property development management; construction managers is the closest SOC cell.,11-9021,True,88.123,0.003
Assistant Property Manager,92.56,,11-9141,Felten-AIOE,high,"11-9141 Property, Real Estate, and Community Association Managers: Property, real estate and community association manager.",11-9141,True,92.5604,0.0004
Assistant Psychologist,98.3,,19-3031,Felten-AIOE,medium,"19-3031 Clinical, Counseling, and School Psychologists: Performs psychologist tasks under supervision.",19-3031,True,98.3012,0.0012
Assistant Town Planner,92.85,,19-3051,Felten-AIOE,high,19-3051 Urban and Regional Planners: Urban and regional planner.,19-3051,True,92.8492,0.0008
Assistant Valuer,83.65,,13-2021,Felten-AIOE,high,13-2021 Appraisers and Assessors of Real Estate: Appraiser/assessor of real estate.,13-2021,True,83.6484,0.0016
Barrister,95.26,,23-1011,Felten-AIOE,high,23-1011 Lawyers: Lawyer.,23-1011,True,95.2618,0.0018
Behavioural Research Assistant,92.3,,19-4061,Felten-AIOE,high,19-4061 Social Science Research Assistants: Social science research assistant.,19-4061,True,92.3044,0.0044
Behavioural Research Executive,97.6,,13-1161,Felten-AIOE,medium,13-1161 Market Research Analysts and Marketing Specialists: 'Research executive' is a market-research industry title.,13-1161,True,97.5959,0.0041
Behavioural Scientist,95.24,,19-3099,Felten-AIOE,medium,"19-3099 Social Scientists and Related Workers, All Other: Social scientists and related workers, all other.",19-3099,True,95.2443,0.0043
Behavioural Strategy Consultant,97.73,,13-1111,Felten-AIOE,medium,13-1111 Management Analysts: Management analyst / consultant.,13-1111,True,97.7308,0.0008
Biochemical Engineer,95.56,,17-2041,Felten-AIOE,medium,17-2041 Chemical Engineers: Bioprocess engineering; closest cell is chemical engineers.,17-2041,True,95.5608,0.0008
Biochemist,85.19,,19-1021,Felten-AIOE,high,19-1021 Biochemists and Biophysicists: Biochemists and biophysicists.,19-1021,True,85.1905,0.0005
Business Analyst,97.73,,13-1111,Felten-AIOE,medium,13-1111 Management Analysts: Management analyst; an IT-BA reading would map to 15-1121.,13-1111,True,97.7308,0.0008
Business Development Manager,93.77,,11-2022,Felten-AIOE,medium,11-2022 Sales Managers: Sales manager.,11-2022,True,93.7727,0.0027
Business English Teacher,95.74,,25-3011,Felten-AIOE,medium,"25-3011 Adult Literacy, Remedial Education, and GED Teachers and Instructors: ESL/adult language instruction sits in SOC 25-3011.",25-3011,True,95.7422,0.0022
Cadet Journalist,91.88,,27-3022,Felten-AIOE,high,27-3022 Reporters and Correspondents: Reporter/correspondent.,27-3022,True,91.8763,0.0037
Cancer Genetic Counselor,100.0,,29-9092,Felten-AIOE,high,29-9092 Genetic Counselors: Genetic counselor.,29-9092,True,100.0,0.0
Category Development Analyst,97.6,,13-1161,Felten-AIOE,medium,13-1161 Market Research Analysts and Marketing Specialists: Market research analyst / marketing specialist.,13-1161,True,97.5959,0.0041
"Chapter Lead, Analytics and Insights",88.85,,11-3021,Felten-AIOE,medium,11-3021 Computer and Information Systems Managers: Leads an analytics discipline; computer and information systems manager.,11-3021,True,88.8547,0.0047
Chief Executive Officer,95.39,,11-1011,Felten-AIOE,high,11-1011 Chief Executives: Chief executive.,11-1011,False,,
Chief Operating Officer,95.39,,11-1011,Felten-AIOE,high,11-1011 Chief Executives: Chief executive.,11-1011,False,,
Clinical Educator,75.92,,25-1072,Felten-AIOE,medium,"25-1072 Nursing Instructors and Teachers, Postsecondary: Hospital clinical educators are typically nurse educators.",25-1072,True,75.9234,0.0034
Clinical Neuropsychologist,98.3,,19-3031,Felten-AIOE,high,"19-3031 Clinical, Counseling, and School Psychologists: Clinical/counseling/school psychologist.",19-3031,True,98.3012,0.0012
Clinical Nurse Consultant,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse (advanced practice).,29-1141,True,69.0701,0.0001
Clinical Nurse Specialist,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse (advanced practice).,29-1141,True,69.0701,0.0001
Clinical Psychologist,98.3,,19-3031,Felten-AIOE,high,"19-3031 Clinical, Counseling, and School Psychologists: Clinical/counseling/school psychologist.",19-3031,True,98.3012,0.0012
Clinical Trial Coordinator,95.24,,11-9121,Felten-AIOE,medium,11-9121 Natural Sciences Managers: O*NET places Clinical Research Coordinators (11-9121.01) under natural sciences managers.,11-9121,True,95.2409,0.0009
Clinical and Team Lead Neuropsychology,98.3,,19-3031,Felten-AIOE,medium,"19-3031 Clinical, Counseling, and School Psychologists: Clinical psychologist with team-lead duties; SOC unchanged by seniority.",19-3031,True,98.3012,0.0012
Cognitive Engineer,97.02,,19-3032,Felten-AIOE,low,19-3032 Industrial-Organizational Psychologists: Read as human-factors/behavioural role given the behavioural-science cluster; an engineering reading would map to 17-2112.,19-3032,True,97.0174,0.0026
Communications & Policy Officer,94.22,,27-3031,Felten-AIOE,medium,27-3031 Public Relations Specialists: Public relations specialist.,27-3031,True,94.2169,0.0031
Community Registered Nurse,69.07,,29-1141,Felten-AIOE,high,29-1141 Registered Nurses: Registered nurse.,29-1141,True,69.0701,0.0001
Consultant,97.73,,13-1111,Felten-AIOE,medium,13-1111 Management Analysts: Generic consultant; management analyst is the default cell.,13-1111,True,97.7308,0.0008
Contact Tracer,64.49,,21-1094,Felten-AIOE,medium,21-1094 Community Health Workers: Public-health fieldwork; community health worker.,21-1094,True,64.4891,0.0009
Content Writer,87.14,,27-3043,Felten-AIOE,high,27-3043 Writers and Authors: Writers and authors.,27-3043,True,87.1412,0.0012
Customer Insights Consultant,97.6,,13-1161,Felten-AIOE,medium,13-1161 Market Research Analysts and Marketing Specialists: Market research analyst.,13-1161,True,97.5959,0.0041
Data Analyst,96.55,,15-2041,Felten-AIOE,medium,15-2041 Statisticians: Statisticians; SOC 2010 has no Data Scientist cell (15-2051 is SOC 2018).,15-2041,True,96.5469,0.0031
